  11.7927256  15.7760191  0.345565498  16.1215839  15.4304533
  13.9130945  15.3858767  0.341923654  15.7278004  15.0439529
  16.0334644  14.9957342  0.338949472  15.3346834  14.656785
  18.1538334  14.6055908  0.336660653  14.9422512  14.2689304
  20.2742023  14.2154484  0.335071236  14.5505199  13.8803768
  22.3945713  13.8253059  0.334191203  14.1594973  13.4911146
  24.5149403  13.4351625  0.334026158  13.7691889  13.1011362
  26.6353092  13.0450201  0.334577143  13.3795977  12.7104425
  28.7556782  12.6548777  0.335840672  12.9907179  12.3190374
  30.8760471  12.2647343  0.337808698  12.6025429  11.9269257
  32.996418  11.8745918  0.340469062  12.2150612  11.5341225
  35.116787  11.4844484  0.343805641  11.8282537  11.1406431
  37.2371559  11.094306  0.347799003  11.4421053  10.7465067
  39.3575249  10.7041636  0.352426827  11.0565901  10.351737
  41.4778938  10.3140202  0.357664466  10.6716843  9.95635605
  43.5982628  9.92387772  0.363485575  10.2873631  9.56039238
  45.7186317  9.53373528  0.369862586  9.90359783  9.16387272
  47.8390007  9.14359188  0.376767308  9.52035904  8.76682472
  49.9593697  8.75344944  0.384171247  9.13762093  8.36927795
  52.0797386  8.363307  0.392046124  8.75535297  7.97126102
  54.2001076  7.97316408  0.40036419  8.37352848  7.57279968
  56.3204765  7.58302116  0.409098387  7.99211979  7.17392254
  58.4408455  7.19287872  0.418222666  7.61110115  6.7746563
  60.5612144  6.80273581  0.427712023  7.23044777  6.37502384
  62.6815834  6.41259336  0.437542737  6.85013628  5.97505045
  64.8019562  6.02244949  0.447692305  6.47014189  5.5747571
  66.9223251  5.63230705  0.458139569  6.09044647  5.17416763
  69.0426941  5.24216413  0.46886456  5.71102858  4.77329969
  71.163063  4.85202169  0.479848713  5.33187056  4.37217283
  73.283432  4.46187878  0.491074622  4.95295334  3.97080421
  75.403801  4.07173586  0.502526104  4.57426214  3.56920981
  77.5241699  3.68159318  0.514188051  4.19578123  3.16740513
  79.6445389  3.2914505  0.526046515  3.81749701  2.76540399
  81.7649078  2.90130782  0.538088441  3.43939638  2.36321926
  83.8852768  2.51116514  0.55030185  3.06146693  1.96086335
  86.0056458  2.12102222  0.562675476  2.6836977  1.55834675
  88.1260147  1.73087955  0.575199068  2.30607867  1.15568042
  90.2463837  1.34073687  0.587863088  1.92859995  0.752873778
  92.3667526  0.950594127  0.600658536  1.5512526  0.349935591
  94.4871216  0.560451388  0.613577247  1.17402864 -0.0531258583
