  18.7900009  26.7399998  1.63
  20.1299992  30.2099991  1.59000003
  21.4699993  33.6199989  1.55999994
  22.8099995  36.9799995  1.54999995
  24.1499996  40.3199997  1.53999996
  25.4899998  43.6399994  1.52999997
  26.8299999  46.9300003  1.51999998
  28.1700001  50.2099991  1.51999998
  29.5100002  53.5  1.51999998
  30.8500004  56.7700005  1.51999998
  32.1899986  60.0499992  1.51999998
  33.5299988  63.3300018  1.50999999
  34.8699989  66.5899963  1.50999999
  36.2099991  69.8600006  1.50999999
  37.5499992  73.1200027  1.50999999
  38.8899994  76.3799973  1.50999999
  40.2299995  79.6299973  1.50999999
  41.5699997  82.8899994  1.50999999
  42.9099998  86.1399994  1.50999999
  44.25  89.4000015  1.50999999
  45.5900002  92.6600037  1.50999999
  46.9300003  95.9199982  1.5
  48.2700005  99.1699982  1.5
  49.6100006  102.410004  1.5
  50.9500008  105.639999  1.49000001
  52.2900009  108.870003  1.49000001
  53.6300011  112.089996  1.49000001
  54.9700012  115.32  1.49000001
  56.3100014  118.540001  1.49000001
  57.6500015  121.769997  1.49000001
  58.9900017  124.989998  1.49000001
  60.3300018  128.220001  1.49000001
  61.6699982  131.449997  1.49000001
  63.0099983  134.679993  1.49000001
  64.3499985  137.910004  1.49000001
  65.6900024  141.139999  1.5
  67.0299988  144.369995  1.5
  68.3700027  147.610001  1.5
  69.7099991  150.860001  1.5
  71.0500031  154.110001  1.50999999
  72.3899994  157.360001  1.50999999
  73.7300034  160.610001  1.5
  75.0699997  163.860001  1.5
  76.4100037  167.100006  1.5
  77.75  170.330002  1.49000001
  79.0899963  173.539993  1.48000002
  80.4300003  176.720001  1.46000004
